aAcc,mIoU,mAcc,data_time,time,step
91.66,53.93,65.16,0.009838526725769042,0.28409515953063963,4000.0
92.75,60.15,74.43,0.009079122257803728,0.28041057767506367,8000.0
93.06,61.03,70.99,0.009355526484415204,0.2811149775149104,12000.0
94.08,66.32,78.45,0.008869783607071744,0.2801906972112294,16000.0
94.28,65.09,75.44,0.009900433336665293,0.28196610186152354,20000.0
94.64,67.73,77.4,0.009919067580780821,0.2818166129365415,24000.0
94.34,67.46,77.41,0.009882544329066477,0.2819336483816425,28000.0
94.66,67.97,77.19,0.009623605572059006,0.2817575398557438,32000.0
94.98,69.99,79.49,0.01016289554908128,0.28225785862661884,36000.0
95.03,69.7,79.54,0.009833600468740255,0.28236615538835047,40000.0
95.08,69.92,80.17,0.009287350667926842,0.2809953028094507,44000.0
94.98,70.36,79.68,0.009734059522251882,0.281513626703959,48000.0
95.18,70.74,79.58,0.009968207981772052,0.2819044361571352,52000.0
95.25,71.93,81.8,0.009720449676056822,0.28204490086751544,56000.0
95.18,70.71,79.98,0.00980077246705929,0.28181899569467633,60000.0
95.26,71.05,80.0,0.009706275905677658,0.2816356708427627,64000.0
95.22,71.03,79.88,0.010072349312300692,0.28245043421457866,68000.0
95.32,71.52,80.66,0.00983505001563036,0.2820204156125615,72000.0
95.33,71.74,80.05,0.00993972814487602,0.28246059008463176,76000.0
