aAcc,mIoU,mAcc,mDice,mFscore,mPrecision,mRecall,data_time,time,step
91.81,52.05,62.49,63.5,63.5,73.2,62.49,0.008559919357299805,0.2848459587097168,4000.0
92.79,58.43,67.37,70.87,70.87,78.41,67.37,0.007476872788693852,0.28133054407770763,8000.0
93.83,63.07,72.93,75.17,75.17,79.59,72.93,0.007484866711431872,0.2812467468474915,12000.0
94.15,65.0,75.02,76.83,76.83,81.66,75.02,0.007892001888709154,0.2822153101900143,16000.0
94.11,67.72,77.01,79.46,79.46,82.73,77.01,0.007815652264806325,0.2815985484513456,20000.0
94.66,69.58,79.66,80.88,80.88,82.87,79.66,0.008038338548884897,0.2822158955290408,24000.0
94.49,66.36,76.1,77.86,77.86,82.97,76.1,0.007908872025693486,0.28176096480287716,28000.0
94.85,70.0,79.72,81.21,81.21,83.26,79.72,0.008054893649742751,0.2813870602263186,32000.0
94.84,70.25,81.75,81.39,81.39,82.29,81.75,0.008140104259559494,0.28238398966912975,36000.0
95.16,70.83,80.74,81.83,81.83,84.1,80.74,0.008351627224219773,0.28182420045315865,40000.0
95.04,70.31,78.96,81.31,81.31,85.4,78.96,0.007893324374200816,0.2822729375310049,44000.0
95.11,70.35,80.09,81.35,81.35,83.8,80.09,0.007424981770163287,0.2816014066189825,48000.0
95.17,70.62,80.15,81.57,81.57,84.41,80.15,0.0075613310237130716,0.28171625870192596,52000.0
95.22,71.59,80.18,82.31,82.31,85.74,80.18,0.007168401501135912,0.28120971106721493,56000.0
95.27,71.59,80.73,82.37,82.37,85.29,80.73,0.008137276548587395,0.27990061175561476,60000.0
95.39,72.65,80.78,83.24,83.24,86.55,80.78,0.008161456761008013,0.27953160023260976,64000.0
95.39,72.47,81.56,83.03,83.03,85.6,81.56,0.008430354847403582,0.2791721668547975,68000.0
95.45,72.01,80.82,82.66,82.66,85.54,80.82,0.007932913755466363,0.2815791456523294,72000.0
95.46,72.78,81.28,83.28,83.28,86.1,81.28,0.007732195292642255,0.27833082385643754,76000.0
